time_s,target,trust_median,n_observers,agreement,loc_available,beh_available,bad_streak,verdict,is_attacker
220.0,1,0.8271350183261852,13,0.23076923076923078,True,False,0,normal,0
220.0,2,0.7330616805804806,4,0.0,True,True,0,normal,0
225.0,0,0.7888489963972917,3,0.3333333333333333,True,False,0,normal,0
225.0,1,0.7311367440708454,13,0.3076923076923077,True,True,0,normal,0
225.0,2,0.7965137686672843,4,0.0,True,True,0,normal,0
230.0,0,0.9203770729471514,2,0.0,True,False,0,normal,0
230.0,1,0.7886564557809638,12,0.3333333333333333,True,False,0,normal,0
230.0,2,0.8216292772690021,4,0.0,True,True,0,normal,0
235.0,0,0.8165492775359124,3,0.0,True,False,0,normal,0
235.0,1,0.8559673429185739,12,0.25,True,False,0,normal,0
235.0,2,0.8732466674417353,4,0.0,True,True,0,normal,0
240.0,0,0.8791739041436859,2,0.0,True,False,0,normal,0
240.0,1,0.8503214555705678,7,0.0,True,False,0,normal,0
240.0,2,0.6219090797973469,3,0.3333333333333333,True,True,0,suspicious,0
245.0,0,0.5740084186722983,5,0.4,True,False,0,suspicious,0
245.0,1,0.8200612642224364,10,0.2,True,False,0,normal,0
245.0,2,0.6662015594742033,2,0.0,True,False,0,suspicious,0
250.0,0,0.6992681317937535,5,0.2,True,True,0,suspicious,0
250.0,1,0.8822891066842532,10,0.0,True,False,0,normal,0
250.0,2,0.7246213591705988,4,0.0,True,True,0,normal,0
255.0,0,0.6016158961072826,4,0.5,True,True,0,suspicious,0
255.0,1,0.8719517167114158,11,0.09090909090909091,True,False,0,normal,0
255.0,2,0.7174724285940519,4,0.25,True,False,0,normal,0
260.0,0,0.4258297241588175,3,0.6666666666666666,True,True,0,suspicious,0
260.0,1,0.8744864101250498,11,0.09090909090909091,True,False,0,normal,0
260.0,2,0.278757097040776,4,0.75,True,True,1,suspicious,0
265.0,0,0.5923850138115687,3,0.0,True,False,0,suspicious,0
265.0,1,0.8639109175415943,9,0.2222222222222222,True,False,0,normal,0
265.0,2,0.726405525786543,5,0.2,True,True,0,normal,0
270.0,0,0.7733942804174248,3,0.3333333333333333,True,False,0,normal,0
270.0,1,0.9031901975305369,8,0.0,True,False,0,normal,0
270.0,2,0.7271402095095373,5,0.0,True,True,0,normal,0
275.0,0,0.769310999040112,3,0.3333333333333333,True,False,0,normal,0
275.0,1,0.9201670237462705,9,0.1111111111111111,True,False,0,normal,0
275.0,2,0.8397614410888266,5,0.0,True,False,0,normal,0
280.0,0,0.4371009976818909,3,0.6666666666666666,True,False,0,suspicious,0
280.0,1,0.8878500555012091,10,0.1,True,True,0,normal,0
280.0,2,0.8675290613538303,5,0.0,True,False,0,normal,0
285.0,0,0.4578993969577143,1,0.0,True,False,0,suspicious,0
